Student,Assignment,Activity,Scoring Guide,Nancy Stephenson Score,Angela Ross Score,Active Score
230,416,PSM_Pretest_2020_B,Pop.04.2_OE,,MAPc3,
231,417,PSM_Pretest_2020_A(c),Pop.04.2_OE,,MAPc3,
241,428,PSM_Pretest_2020_C,Pop.04.2_OE,,MAPc2,MAPc2
242,429,PSM_Pretest_2020_B,Pop.04.2_OE,,MAPc3,MAPc3
243,430,PSM_Pretest_2020_A(c),Pop.04.2_OE,,MAPc3,
249,436,PSM_Pretest_2020_C,Pop.04.2_OE,,MAPc2,
250,437,PSM_Pretest_2020_B,Pop.04.2_OE,,MAPc2,
251,438,PSM_Pretest_2020_A(c),Pop.04.2_OE,,MAPc3,MAPc3
259,446,PSM_Pretest_2020_C,Pop.04.2_OE,,MAPc3,
260,447,PSM_Pretest_2020_B,Pop.04.2_OE,,MAPc0,
261,448,PSM_Pretest_2020_A(c),Pop.04.2_OE,,MAPc3,
264,451,PSM_Pretest_2020_D(c),Pop.04.2_OE,,MAPc3,MAPc3
266,453,PSM_Pretest_2020_C,Pop.04.2_OE,,MAPc3,
267,454,PSM_Pretest_2020_B,Pop.04.2_OE,,MAPc3,
268,455,PSM_Pretest_2020_A(c),Pop.04.2_OE,,MAPc3,
269,456,PSM_Pretest_2020_F,Pop.04.2_OE,,MAPc1,MAPc0
296,484,PSM_Pretest_2020_C,Pop.04.2_OE,,MAPc3,
298,486,PSM_Pretest_2020_B,Pop.04.2_OE,,MAPc3,
407,601,PSM_Pretest_2020_A(c),Pop.04.2_OE,,MAPc3,
422,621,PSM_Pretest_2020_C,Pop.04.2_OE,,MAPc3,
429,634,PSM_Pretest_2020_A(c),Pop.04.2_OE,,MAPc3,
528,750,PSM_Pretest_2020_D(c),Pop.04.2_OE,,MAPc2,
529,751,PSM_Pretest_2020_C,Pop.04.2_OE,,MAPc3,
531,753,PSM_Pretest_2020_A(c),Pop.04.2_OE,,MAPc0,MAPc0
563,789,PSM_Pretest_2020_C,Pop.04.2_OE,,MAPc1,
564,790,PSM_Pretest_2020_B,Pop.04.2_OE,,MAPc3,
572,798,PSM_Pretest_2020_A(c),Pop.04.2_OE,,MAPc2,MAPc1
573,799,PSM_Pretest_2020_F,Pop.04.2_OE,,MAPc3,MAPc3
575,801,PSM_Pretest_2020_D(c),Pop.04.2_OE,,MAPc3,
601,827,PSM_Pretest_2020_C,Pop.04.2_OE,,MAPc3,
602,828,PSM_Pretest_2020_B,Pop.04.2_OE,,MAPc2,
